songnsame,genre
OMG.wav,country
Overburdened.wav,disco
HeyMama.wav,blues
FuriousRose.wav,metal
TakiRari.wav,hiphop
HombrealAgua.wav,hiphop
HornConcerto.wav,hiphop
LauvCanada.wav,classical
Teenager.wav,blues
UsherOMG.wav,blues
DogDaysAreOver.wav,hiphop
Secrets.wav,classical
CityOnOurKnees.wav,rock
DropTheWorld.wav,rock
HighandDry.wav,metal
MarryMe.wav,hiphop
YouretheOne.wav,reggae
MarisaMonteProibido.wav,rock
Harmonia.wav,reggae
FlyWithMe.wav,reggae
Hollywood.wav,hiphop
ShookOnes.wav,reggae
CartolaTivesim.wav,metal
DrakeTakeCare.wav,disco
ElTiempoLoDiraAnthonyDucapo.wav,country
Fireflies.wav,jazz
Undo.wav,jazz
