songnsame,genre,emotion
omg.wav,country,Neutral
overburdened.wav,disco,Positive
heymama.wav,rock,Negative
furiousrose.wav,disco,Positive
takirari.wav,country,Neutral
hombrealagua.wav,hiphop,Positive
hornconcerto.wav,rock,Negative
lauvcanada.wav,classical,Neutral
teenager.wav,blues,Positive
usheromg.wav,country,Neutral
dogdaysareover.wav,disco,Positive
secrets.wav,jazz,Positive
cityonourknees.wav,rock,Negative
droptheworld.wav,rock,Negative
highanddry.wav,metal,Negative
marryme.wav,rock,Negative
youretheone.wav,disco,Positive
marisamonteproibido.wav,country,Neutral
harmonia.wav,reggae,Negative
flywithme.wav,reggae,Negative
hollywood.wav,reggae,Negative
shookones.wav,reggae,Negative
cartolativesim.wav,disco,Positive
draketakecare.wav,disco,Positive
eltiempolodiraanthonyducapo.wav,country,Neutral
fireflies.wav,jazz,Positive
undo.wav,classical,Neutral
